CustomerID,R,F,M
12346,326.0,1,77183.6
12347,183.71428571428572,7,4310.0
12348,250.25,4,1437.24
12349,19.0,1,1457.55
12350,310.0,1,294.40000000000003
12352,185.28571428571428,7,1385.74
12353,204.0,1,89.0
12354,232.0,1,1079.4
12355,214.0,1,459.4
12356,198.33333333333334,3,2487.4300000000003
12357,33.0,1,6207.669999999996
12358,76.5,2,928.06
12359,221.25,4,6310.030000000001
12360,122.0,3,2302.06
12361,287.0,1,174.89999999999998
12362,105.6,10,4737.2300000000005
12363,176.0,2,552.0
12364,59.5,4,1208.1
12365,291.0,1,320.69
12367,4.0,1,150.9
12370,261.0,4,3421.9400000000005
12371,60.0,1,1527.9600000000003
12372,194.0,3,1196.04
12373,311.0,1,324.6
12374,25.0,1,622.93
12375,54.5,2,377.50000000000006
12377,335.0,2,1548.1199999999997
12378,130.0,1,4008.6200000000013
12379,126.0,2,777.24
12380,85.75,4,2427.81
12381,52.666666666666664,3,1474.81
12383,275.4,5,1628.56
12384,75.5,2,425.27
12386,352.5,2,401.90000000000003
12388,191.16666666666666,6,2780.6600000000003
12390,80.0,1,504.84
12391,22.0,1,439.65999999999997
12393,245.25,4,1582.6000000000001
12394,140.5,2,1080.48
12395,178.5,12,2682.6299999999997
12397,85.5,2,2214.8999999999996
12398,46.0,1,1435.6599999999999
12399,194.5,4,1033.65
12401,303.0,1,69.3
12402,323.0,1,195.6
12403,50.0,1,391.7
12405,149.0,1,1390.3900000000006
12406,103.0,2,3415.3
12407,168.2,5,1507.12
12408,165.6,5,2618.5500000000006
12409,113.66666666666667,3,11072.67
12410,309.0,2,533.3299999999999
12412,127.33333333333333,3,1142.88
12413,213.33333333333334,3,686.1000000000001
12414,251.66666666666666,3,442.41
12415,151.25,20,124564.53000000003
12417,182.88888888888889,9,3226.1
12418,113.0,1,668.5799999999997
12420,64.0,1,600.3900000000001
12421,155.75,4,639.0400000000001
12422,196.33333333333334,3,683.56
12423,206.5,8,1634.3100000000002
12424,163.0,2,1760.9600000000003
12425,78.0,1,777.1999999999999
12426,195.0,1,510.7299999999999
12427,151.33333333333334,3,699.8
12428,204.125,8,6405.259999999999
12429,194.0,4,3388.4
12430,43.0,1,216.4
12431,187.0,15,6314.950000000001
12432,107.5,4,4359.320000000001
12433,126.28571428571429,7,13375.870000000003
12434,172.5,2,806.1399999999999
12435,174.0,2,7829.889999999999
12436,100.0,1,429.01000000000005
12437,151.0,18,4447.409999999999
12438,77.0,2,2466.85
12441,367.0,1,155.55
12442,3.0,1,144.06
12444,91.8,5,4085.4599999999996
12445,22.0,1,77.4
12446,58.0,1,1002.3099999999998
12447,243.0,1,431.49
12448,44.0,1,365.4500000000001
12449,107.75,4,3596.29
12450,164.5,2,197.88
12451,128.2,5,8995.519999999999
12452,17.0,1,348.57000000000005
12453,134.0,1,707.0899999999999
12454,56.0,1,3528.34
12455,168.8,5,2339.8599999999997
12456,143.33333333333334,3,2581.04
12457,157.5,6,1864.2299999999998
12458,178.0,2,787.4000000000001
12461,155.0,1,626.8800000000001
12462,161.0,2,937.5899999999999
12463,169.25,4,1200.7800000000002
12464,160.5,8,957.0500000000001
12465,93.0,2,682.19
12468,252.0,2,657.54
12471,164.66666666666666,27,17388.649999999998
12472,193.85714285714286,7,6068.110000000001
12473,120.33333333333333,3,2585.73
12474,173.55555555555554,18,6694.089999999999
12475,54.0,1,669.38
12476,162.27272727272728,11,5898.42
12477,130.83333333333334,6,13219.739999999998
12478,4.0,1,545.99
12479,11.0,1,473.2
12480,193.5,4,2885.6300000000006
12481,224.8,10,5003.82
12483,165.625,8,1910.98
12484,162.75,4,3939.3199999999997
12488,42.0,3,1244.6599999999999
12489,336.0,1,298.93
12490,113.5,10,4859.93
12491,39.0,1,424.4000000000001
12492,84.0,2,227.21
12493,181.5,2,379.74
12494,205.0,7,1084.1000000000001
12497,82.0,1,953.1
12498,33.333333333333336,3,349.7
12500,154.1818181818182,11,4059.82
12501,337.0,1,2025.3899999999992
12502,204.0,5,2995.8700000000003
12504,24.0,2,428.04999999999995
12506,233.0,1,73.50000000000003
12507,196.33333333333334,3,1052.81
12508,27.5,2,397.88
12509,284.0,1,158.5
12510,234.0,2,814.57
12512,66.0,2,132.18000000000004
12513,113.0,1,558.2900000000001
12514,267.0,1,1017.6800000000002
12515,353.0,1,278.7
12516,129.5,2,1186.06
12517,104.5,4,2301.6000000000004
12518,55.2,5,1840.89
12519,64.0,1,276.84
12520,192.0,5,2346.260000000001
12521,143.0,1,545.6800000000001
12522,45.0,2,156.72
12523,154.9090909090909,11,1699.7700000000002
12524,196.125,8,3945.7200000000003
12526,49.666666666666664,3,1172.6599999999999
12527,234.33333333333334,3,330.71000000000004
12528,154.66666666666666,6,1645.4799999999998
12530,188.75,4,1500.2800000000002
12531,15.0,1,125.22
12532,30.0,1,313.83
12534,131.0,1,981.1800000000001
12535,139.5,2,716.3500000000001
12536,59.0,1,4279.710000000004
12538,29.0,1,363.95
12539,233.75,4,5568.349999999999
12540,157.8235294117647,17,11580.239999999996
12541,161.33333333333334,3,841.1799999999998
12544,36.0,1,316.7
12545,167.5,2,832.39
12546,62.5,2,1021.5
12547,239.5,2,151.8
12548,166.0,1,67.19999999999999
12550,79.0,1,824.8299999999994
12551,358.0,1,168.0
12552,40.0,1,317.81999999999994
12553,172.6,10,3278.28
12556,100.5,2,599.5599999999997
12557,227.0,5,11990.96
12558,8.0,1,269.96000000000004
12559,315.5,2,525.7099999999999
12560,74.0,2,1918.01
12561,303.0,1,238.85
12562,95.85714285714286,7,3385.74
12564,261.0,1,402.9000000000001
12565,289.0,1,145.92
12566,86.0,1,297.65000000000003
12567,202.5,10,8609.279999999999
12569,91.0,32,3152.69
12571,81.0,2,519.61
12572,30.5,2,912.4200000000002
12573,227.0,1,160.54
12574,316.0,1,182.45000000000002
12576,161.0,5,1315.83
12577,143.0,3,622.65
12578,175.5,2,2402.51
12579,78.0,1,386.41999999999996
12580,247.0,1,379.7
12581,40.0,1,179.70999999999998
12582,264.0,2,351.36
12583,157.6,15,6705.38
12584,103.22222222222223,9,2254.1499999999996
12585,292.5,2,1824.1
12586,17.0,1,196.94
12587,8.0,1,104.0
12588,39.0,1,174.9
12589,87.0,2,574.68
12590,211.0,1,9341.260000000004
12591,317.0,1,368.84999999999985
12592,152.5,2,401.6
12593,152.66666666666666,3,382.1
12594,188.0,9,3208.2200000000003
12596,146.5,2,450.27
12597,127.5,4,3195.220000000001
12598,114.0,7,2807.0800000000004
12599,181.28571428571428,7,888.5799999999999
12600,210.4,10,2311.04
12601,256.8,5,487.06000000000006
12602,59.0,1,153.12000000000003
12603,22.0,1,613.1999999999999
12604,170.5,2,236.18
12607,60.0,1,1579.51
12609,194.0,3,964.85
12610,75.0,4,1747.54
12611,52.0,1,1193.32
12612,74.0,1,668.0400000000001
12613,178.75,4,3092.38
12614,278.0,1,315.59999999999997
12615,69.75,4,2093.19
12616,196.0,2,641.3
12617,29.0,1,352.9800000000002
12618,22.0,1,137.31
12619,120.875,8,2945.5599999999995
12620,100.33333333333333,3,1303.4099999999999
12621,179.4,20,12411.670000000002
12622,232.0,1,162.09999999999997
12623,276.0,1,269.1
12624,142.0,2,569.13
12625,265.5,2,2413.8199999999997
12626,146.22222222222223,9,5954.479999999999
12627,91.66666666666667,6,4082.5299999999997
12628,34.0,3,732.46
12630,27.0,2,1030.88
12631,57.0,1,480.50000000000017
12633,168.5,4,1929.9800000000002
12635,122.5,2,1509.1799999999994
12637,187.5,8,5804.9
12638,33.0,1,511.69
12639,239.0,1,366.1
12640,43.666666666666664,3,994.5799999999999
12641,115.0,1,145.9
12642,61.333333333333336,3,905.26
12643,209.66666666666666,6,3041.6400000000003
12644,130.0,1,477.9100000000001
12645,170.0,4,1631.1799999999998
12646,27.0,2,1346.9699999999998
12647,220.58333333333334,12,3146.82
12648,155.0,1,300.05
12649,142.0,3,569.51
12650,3.0,1,242.44
12651,335.0,1,114.00000000000003
12652,331.0,1,793.9799999999998
12653,223.0,2,2209.85
12654,147.8,5,529.98
12656,128.8,5,3619.17
12657,35.75,4,1427.1799999999998
12658,19.0,1,632.0500000000001
12659,30.0,1,73.68
12660,11.0,1,227.10000000000002
12662,157.63636363636363,11,3543.78
12664,107.88888888888889,9,4391.88
12665,325.0,1,45.0
12667,58.0,1,460.12999999999994
12668,234.75,4,3177.15
12669,204.0,2,1427.7300000000002
12670,114.2,5,2744.0499999999997
12672,330.0,1,225.9
12673,166.0,2,574.52
12674,127.5,4,1844.6
12676,163.66666666666666,6,1091.39
12678,166.0,9,16331.460000000003
12679,159.25,4,951.0200000000003
12680,69.25,4,790.8099999999998
12681,192.27272727272728,22,12365.54
